Episode 109, loss: 78.187, total_reward: 14.0, solved: False
Episode 110, loss: 1756.741, total_reward: 87.0, solved: False
Episode 111, loss: 858.000, total_reward: 53.0, solved: False
Episode 112, loss: 892.465, total_reward: 60.0, solved: False
Episode 113, loss: 1343.474, total_reward: 75.0, solved: False
Episode 114, loss: 1275.001, total_reward: 75.0, solved: False
Episode 115, loss: 391.607, total_reward: 36.0, solved: False
Episode 116, loss: 1674.697, total_reward: 87.0, solved: False
Episode 117, loss: 2750.282, total_reward: 112.0, solved: False
Episode 118, loss: 1986.271, total_reward: 96.0, solved: False
Episode 119, loss: 2454.533, total_reward: 106.0, solved: False
Episode 120, loss: 3193.571, total_reward: 124.0, solved: False
Episode 121, loss: 5588.620, total_reward: 181.0, solved: False
Episode 122, loss: 2198.103, total_reward: 102.0, solved: False
Episode 123, loss: 3384.002, total_reward: 132.0, solved: False
Episode 124, loss: 1326.057, total_reward: 77.0, solved: False
Episode 125, loss: 1272.231, total_reward: 73.0, solved: False
Episode 126, loss: 2166.147, total_reward: 103.0, solved: False
Episode 127, loss: 690.230, total_reward: 50.0, solved: False
Episode 128, loss: 1913.945, total_reward: 94.0, solved: False
Episode 129, loss: 1990.304, total_reward: 96.0, solved: False
Episode 130, loss: 626.858, total_reward: 53.0, solved: False
Episode 131, loss: 1522.170, total_reward: 85.0, solved: False
Episode 132, loss: 1145.575, total_reward: 71.0, solved: False
Episode 133, loss: 1501.873, total_reward: 85.0, solved: False
Episode 134, loss: 818.771, total_reward: 59.0, solved: False
Episode 135, loss: 1284.280, total_reward: 74.0, solved: False
Episode 136, loss: 2053.435, total_reward: 102.0, solved: False
Episode 137, loss: 1665.430, total_reward: 85.0, solved: False
Episode 138, loss: 1561.498, total_reward: 87.0, solved: False
Episode 139, loss: 2402.966, total_reward: 110.0, solved: False
Episode 140, loss: 4265.064, total_reward: 157.0, solved: False
Episode 141, loss: 1878.566, total_reward: 95.0, solved: False
Episode 142, loss: 1147.870, total_reward: 73.0, solved: False
Episode 143, loss: 1139.268, total_reward: 73.0, solved: False
Episode 144, loss: 1115.537, total_reward: 69.0, solved: False
Episode 145, loss: 3961.863, total_reward: 146.0, solved: False
Episode 146, loss: 1161.173, total_reward: 69.0, solved: False
Episode 147, loss: 3349.562, total_reward: 133.0, solved: False
Episode 148, loss: 3400.129, total_reward: 138.0, solved: False
Episode 149, loss: 880.788, total_reward: 62.0, solved: False
Episode 150, loss: 4913.995, total_reward: 169.0, solved: False
Episode 151, loss: 3848.277, total_reward: 145.0, solved: False
Episode 152, loss: 1153.150, total_reward: 71.0, solved: False
Episode 153, loss: 838.729, total_reward: 62.0, solved: False
Episode 154, loss: 3864.068, total_reward: 138.0, solved: False
Episode 155, loss: 1177.592, total_reward: 74.0, solved: False
Episode 156, loss: 1747.311, total_reward: 91.0, solved: False
Episode 157, loss: 747.153, total_reward: 59.0, solved: False
Episode 158, loss: 2766.572, total_reward: 117.0, solved: False
Episode 159, loss: 6313.194, total_reward: 200.0, solved: True
Episode 160, loss: 1353.486, total_reward: 77.0, solved: False
Episode 161, loss: 4665.232, total_reward: 166.0, solved: False
Episode 162, loss: 1548.527, total_reward: 84.0, solved: False
Episode 163, loss: 2181.424, total_reward: 107.0, solved: False
Episode 164, loss: 6564.875, total_reward: 200.0, solved: True
Episode 165, loss: 3853.720, total_reward: 150.0, solved: False
Episode 166, loss: 750.858, total_reward: 57.0, solved: False
Episode 167, loss: 5818.384, total_reward: 186.0, solved: False
Episode 168, loss: 2555.053, total_reward: 114.0, solved: False
Episode 169, loss: 6366.810, total_reward: 200.0, solved: True
Episode 170, loss: 2347.119, total_reward: 103.0, solved: False
Episode 171, loss: 5154.942, total_reward: 180.0, solved: False
Episode 172, loss: 6022.117, total_reward: 200.0, solved: True
Episode 173, loss: 2618.808, total_reward: 117.0, solved: False
Episode 174, loss: 6470.985, total_reward: 200.0, solved: True
Episode 175, loss: 6325.446, total_reward: 200.0, solved: True
Episode 176, loss: 6377.260, total_reward: 200.0, solved: True
Episode 177, loss: 6386.501, total_reward: 200.0, solved: True
Episode 178, loss: 6543.917, total_reward: 200.0, solved: True
Episode 179, loss: 5000.843, total_reward: 168.0, solved: False
Episode 180, loss: 6581.118, total_reward: 200.0, solved: True
Episode 181, loss: 3437.492, total_reward: 132.0, solved: False
Episode 182, loss: 6543.359, total_reward: 200.0, solved: True
Episode 183, loss: 3807.158, total_reward: 144.0, solved: False
Episode 184, loss: 3686.053, total_reward: 133.0, solved: False
Episode 185, loss: 1601.399, total_reward: 80.0, solved: False
Episode 186, loss: 6424.703, total_reward: 200.0, solved: True
Episode 187, loss: 2411.740, total_reward: 107.0, solved: False
Episode 188, loss: 6598.967, total_reward: 200.0, solved: True
