Episode 108, loss: 6115.039, total_reward: 200.0, solved: True
Episode 109, loss: 6472.784, total_reward: 200.0, solved: True
Episode 110, loss: 6625.795, total_reward: 200.0, solved: True
Episode 111, loss: 6014.635, total_reward: 200.0, solved: True
Episode 112, loss: 4326.046, total_reward: 156.0, solved: False
Episode 113, loss: 5101.263, total_reward: 174.0, solved: False
Episode 114, loss: 6485.665, total_reward: 200.0, solved: True
Episode 115, loss: 6469.689, total_reward: 200.0, solved: True
Episode 116, loss: 6256.589, total_reward: 200.0, solved: True
Episode 117, loss: 6495.160, total_reward: 200.0, solved: True
Episode 118, loss: 6269.572, total_reward: 200.0, solved: True
Episode 119, loss: 6252.557, total_reward: 200.0, solved: True
Episode 120, loss: 6443.201, total_reward: 200.0, solved: True
Episode 121, loss: 6558.858, total_reward: 200.0, solved: True
Episode 122, loss: 6643.601, total_reward: 200.0, solved: True
Episode 123, loss: 6259.403, total_reward: 200.0, solved: True
Episode 124, loss: 6606.019, total_reward: 200.0, solved: True
Episode 125, loss: 6549.256, total_reward: 200.0, solved: True
Episode 126, loss: 6580.771, total_reward: 200.0, solved: True
Episode 127, loss: 6279.644, total_reward: 200.0, solved: True
Episode 128, loss: 6504.695, total_reward: 200.0, solved: True
Episode 129, loss: 6644.619, total_reward: 200.0, solved: True
Episode 130, loss: 6494.117, total_reward: 200.0, solved: True
Episode 131, loss: 6478.308, total_reward: 200.0, solved: True
Episode 132, loss: 3868.002, total_reward: 143.0, solved: False
Episode 133, loss: 6436.898, total_reward: 200.0, solved: True
Episode 134, loss: 2278.005, total_reward: 104.0, solved: False
Episode 135, loss: 6532.062, total_reward: 200.0, solved: True
Episode 136, loss: 6518.740, total_reward: 200.0, solved: True
Episode 137, loss: 105.774, total_reward: 18.0, solved: False
Episode 138, loss: 6614.070, total_reward: 200.0, solved: True
Episode 139, loss: 6512.206, total_reward: 200.0, solved: True
Episode 140, loss: 6788.254, total_reward: 200.0, solved: True
Episode 141, loss: 6472.442, total_reward: 200.0, solved: True
Episode 142, loss: 6352.788, total_reward: 200.0, solved: True
Episode 143, loss: 6594.327, total_reward: 200.0, solved: True
Episode 144, loss: 5746.741, total_reward: 186.0, solved: False
Episode 145, loss: 6246.140, total_reward: 196.0, solved: True
Episode 146, loss: 57.083, total_reward: 14.0, solved: False
Episode 147, loss: 5151.368, total_reward: 166.0, solved: False
Episode 148, loss: 5307.028, total_reward: 171.0, solved: False
Episode 149, loss: 4850.371, total_reward: 168.0, solved: False
Episode 150, loss: 3904.903, total_reward: 145.0, solved: False
Episode 151, loss: 2817.085, total_reward: 117.0, solved: False
Episode 152, loss: 167.787, total_reward: 28.0, solved: False
Episode 153, loss: 131.413, total_reward: 22.0, solved: False
Episode 154, loss: 3160.240, total_reward: 131.0, solved: False
Episode 155, loss: 3172.864, total_reward: 128.0, solved: False
Episode 156, loss: 2956.914, total_reward: 126.0, solved: False
Episode 157, loss: 2146.857, total_reward: 104.0, solved: False
Episode 158, loss: 2865.188, total_reward: 122.0, solved: False
Episode 159, loss: 4003.771, total_reward: 144.0, solved: False
Episode 160, loss: 2728.966, total_reward: 122.0, solved: False
Episode 161, loss: 2841.233, total_reward: 122.0, solved: False
Episode 162, loss: 2879.387, total_reward: 119.0, solved: False
Episode 163, loss: 3559.011, total_reward: 141.0, solved: False
Episode 164, loss: 2619.235, total_reward: 118.0, solved: False
Episode 165, loss: 3694.464, total_reward: 138.0, solved: False
Episode 166, loss: 2942.711, total_reward: 126.0, solved: False
Episode 167, loss: 2900.550, total_reward: 125.0, solved: False
Episode 168, loss: 2905.658, total_reward: 128.0, solved: False
Episode 169, loss: 2723.738, total_reward: 114.0, solved: False
