Episode 108, loss: 847.928, total_reward: 60.0, solved: False
Episode 109, loss: 685.114, total_reward: 52.0, solved: False
Episode 110, loss: 267.448, total_reward: 31.0, solved: False
Episode 111, loss: 314.504, total_reward: 35.0, solved: False
Episode 112, loss: 256.175, total_reward: 31.0, solved: False
Episode 113, loss: 161.312, total_reward: 25.0, solved: False
Episode 114, loss: 226.049, total_reward: 28.0, solved: False
Episode 115, loss: 112.771, total_reward: 20.0, solved: False
Episode 116, loss: 42.891, total_reward: 12.0, solved: False
Episode 117, loss: 230.729, total_reward: 29.0, solved: False
Episode 118, loss: 152.812, total_reward: 23.0, solved: False
Episode 119, loss: 317.241, total_reward: 33.0, solved: False
Episode 120, loss: 79.536, total_reward: 18.0, solved: False
Episode 121, loss: 626.409, total_reward: 50.0, solved: False
Episode 122, loss: 89.340, total_reward: 16.0, solved: False
Episode 123, loss: 985.714, total_reward: 56.0, solved: False
Episode 124, loss: 361.342, total_reward: 34.0, solved: False
Episode 125, loss: 194.858, total_reward: 25.0, solved: False
Episode 126, loss: 770.515, total_reward: 56.0, solved: False
Episode 127, loss: 218.900, total_reward: 27.0, solved: False
Episode 128, loss: 412.963, total_reward: 41.0, solved: False
Episode 129, loss: 317.716, total_reward: 35.0, solved: False
Episode 130, loss: 453.636, total_reward: 45.0, solved: False
Episode 131, loss: 2018.290, total_reward: 94.0, solved: False
Episode 132, loss: 914.154, total_reward: 64.0, solved: False
Episode 133, loss: 3190.458, total_reward: 126.0, solved: False
Episode 134, loss: 3009.872, total_reward: 122.0, solved: False
Episode 135, loss: 735.666, total_reward: 56.0, solved: False
Episode 136, loss: 4381.747, total_reward: 159.0, solved: False
Episode 137, loss: 6422.488, total_reward: 199.0, solved: True
Episode 138, loss: 6396.248, total_reward: 200.0, solved: True
Episode 139, loss: 3683.499, total_reward: 137.0, solved: False
Episode 140, loss: 6290.809, total_reward: 200.0, solved: True
Episode 141, loss: 4810.031, total_reward: 167.0, solved: False
Episode 142, loss: 6545.733, total_reward: 200.0, solved: True
Episode 143, loss: 6336.555, total_reward: 200.0, solved: True
