Episode 109, loss: 3097.556, total_reward: 130.0, solved: False
Episode 110, loss: 6111.325, total_reward: 200.0, solved: True
Episode 111, loss: 4795.102, total_reward: 165.0, solved: False
Episode 112, loss: 6474.447, total_reward: 200.0, solved: True
Episode 113, loss: 1264.989, total_reward: 76.0, solved: False
Episode 114, loss: 6461.930, total_reward: 200.0, solved: True
Episode 115, loss: 5862.248, total_reward: 186.0, solved: False
Episode 116, loss: 6324.787, total_reward: 200.0, solved: True
Episode 117, loss: 1181.826, total_reward: 70.0, solved: False
Episode 118, loss: 6413.916, total_reward: 200.0, solved: True
Episode 119, loss: 5969.312, total_reward: 189.0, solved: False
Episode 120, loss: 5143.900, total_reward: 168.0, solved: False
Episode 121, loss: 4517.443, total_reward: 161.0, solved: False
Episode 122, loss: 4793.921, total_reward: 167.0, solved: False
Episode 123, loss: 3183.695, total_reward: 133.0, solved: False
Episode 124, loss: 2536.895, total_reward: 116.0, solved: False
Episode 125, loss: 338.507, total_reward: 38.0, solved: False
Episode 126, loss: 396.837, total_reward: 40.0, solved: False
Episode 127, loss: 174.061, total_reward: 28.0, solved: False
Episode 128, loss: 355.699, total_reward: 37.0, solved: False
Episode 129, loss: 1020.098, total_reward: 70.0, solved: False
Episode 130, loss: 566.341, total_reward: 46.0, solved: False
Episode 131, loss: 324.152, total_reward: 37.0, solved: False
Episode 132, loss: 142.253, total_reward: 25.0, solved: False
Episode 133, loss: 302.502, total_reward: 39.0, solved: False
Episode 134, loss: 386.969, total_reward: 45.0, solved: False
Episode 135, loss: 378.103, total_reward: 38.0, solved: False
Episode 136, loss: 75.406, total_reward: 16.0, solved: False
Episode 137, loss: 159.071, total_reward: 27.0, solved: False
Episode 138, loss: 145.041, total_reward: 26.0, solved: False
Episode 139, loss: 156.639, total_reward: 28.0, solved: False
Episode 140, loss: 320.742, total_reward: 41.0, solved: False
Episode 141, loss: 798.435, total_reward: 56.0, solved: False
Episode 142, loss: 199.640, total_reward: 31.0, solved: False
Episode 143, loss: 849.718, total_reward: 62.0, solved: False
Episode 144, loss: 490.356, total_reward: 46.0, solved: False
Episode 145, loss: 460.651, total_reward: 49.0, solved: False
Episode 146, loss: 526.773, total_reward: 47.0, solved: False
Episode 147, loss: 276.001, total_reward: 34.0, solved: False
Episode 148, loss: 524.521, total_reward: 53.0, solved: False
Episode 149, loss: 1025.815, total_reward: 70.0, solved: False
Episode 150, loss: 679.011, total_reward: 61.0, solved: False
Episode 151, loss: 1090.362, total_reward: 74.0, solved: False
Episode 152, loss: 691.699, total_reward: 61.0, solved: False
Episode 153, loss: 1042.931, total_reward: 74.0, solved: False
Episode 154, loss: 748.933, total_reward: 58.0, solved: False
Episode 155, loss: 729.672, total_reward: 59.0, solved: False
Episode 156, loss: 1499.386, total_reward: 83.0, solved: False
Episode 157, loss: 1194.235, total_reward: 73.0, solved: False
Episode 158, loss: 1323.481, total_reward: 88.0, solved: False
Episode 159, loss: 1768.032, total_reward: 102.0, solved: False
Episode 160, loss: 1010.707, total_reward: 76.0, solved: False
Episode 161, loss: 1413.840, total_reward: 91.0, solved: False
Episode 162, loss: 2134.000, total_reward: 114.0, solved: False
Episode 163, loss: 1404.749, total_reward: 88.0, solved: False
Episode 164, loss: 1745.092, total_reward: 103.0, solved: False
Episode 165, loss: 1782.474, total_reward: 107.0, solved: False
Episode 166, loss: 2333.984, total_reward: 126.0, solved: False
Episode 167, loss: 2407.143, total_reward: 121.0, solved: False
Episode 168, loss: 2276.076, total_reward: 115.0, solved: False
Episode 169, loss: 2979.104, total_reward: 142.0, solved: False
Episode 170, loss: 2297.342, total_reward: 116.0, solved: False
Episode 171, loss: 2374.231, total_reward: 123.0, solved: False
Episode 172, loss: 2551.995, total_reward: 131.0, solved: False
Episode 173, loss: 2252.180, total_reward: 127.0, solved: False
Episode 174, loss: 3156.211, total_reward: 134.0, solved: False
Episode 175, loss: 2598.622, total_reward: 140.0, solved: False
Episode 176, loss: 3356.672, total_reward: 151.0, solved: False
Episode 177, loss: 3214.397, total_reward: 150.0, solved: False
Episode 178, loss: 3746.728, total_reward: 170.0, solved: False
Episode 179, loss: 2668.006, total_reward: 140.0, solved: False
Episode 180, loss: 4097.553, total_reward: 177.0, solved: False
Episode 181, loss: 2350.251, total_reward: 135.0, solved: False
Episode 182, loss: 3538.545, total_reward: 160.0, solved: False
Episode 183, loss: 3903.657, total_reward: 168.0, solved: False
Episode 184, loss: 3526.268, total_reward: 165.0, solved: False
Episode 185, loss: 4657.666, total_reward: 199.0, solved: True
Episode 186, loss: 3395.462, total_reward: 155.0, solved: False
Episode 187, loss: 4495.482, total_reward: 189.0, solved: False
Episode 188, loss: 5480.672, total_reward: 200.0, solved: True
Episode 189, loss: 4860.807, total_reward: 198.0, solved: True
Episode 190, loss: 5300.486, total_reward: 200.0, solved: True
Episode 191, loss: 5196.618, total_reward: 200.0, solved: True
Episode 192, loss: 5025.610, total_reward: 200.0, solved: True
Episode 193, loss: 5869.158, total_reward: 200.0, solved: True
