Episode 108, loss: 3904.759, total_reward: 145.0, solved: False
Episode 109, loss: 5095.557, total_reward: 169.0, solved: False
Episode 110, loss: 1316.046, total_reward: 78.0, solved: False
Episode 111, loss: 6497.138, total_reward: 200.0, solved: True
Episode 112, loss: 6291.793, total_reward: 200.0, solved: True
Episode 113, loss: 6755.201, total_reward: 200.0, solved: True
Episode 114, loss: 6486.782, total_reward: 200.0, solved: True
Episode 115, loss: 6016.211, total_reward: 200.0, solved: True
Episode 116, loss: 6351.501, total_reward: 200.0, solved: True
Episode 117, loss: 6261.560, total_reward: 200.0, solved: True
Episode 118, loss: 2021.577, total_reward: 99.0, solved: False
Episode 119, loss: 2669.374, total_reward: 116.0, solved: False
Episode 120, loss: 1930.945, total_reward: 95.0, solved: False
Episode 121, loss: 2125.406, total_reward: 101.0, solved: False
Episode 122, loss: 667.572, total_reward: 48.0, solved: False
Episode 123, loss: 4373.993, total_reward: 155.0, solved: False
Episode 124, loss: 4158.340, total_reward: 150.0, solved: False
Episode 125, loss: 307.541, total_reward: 31.0, solved: False
Episode 126, loss: 1753.373, total_reward: 91.0, solved: False
Episode 127, loss: 527.680, total_reward: 43.0, solved: False
Episode 128, loss: 705.705, total_reward: 53.0, solved: False
Episode 129, loss: 1854.067, total_reward: 92.0, solved: False
Episode 130, loss: 543.214, total_reward: 43.0, solved: False
Episode 131, loss: 2938.789, total_reward: 118.0, solved: False
Episode 132, loss: 594.076, total_reward: 47.0, solved: False
Episode 133, loss: 1433.792, total_reward: 77.0, solved: False
Episode 134, loss: 6183.006, total_reward: 200.0, solved: True
Episode 135, loss: 726.259, total_reward: 52.0, solved: False
Episode 136, loss: 2306.099, total_reward: 103.0, solved: False
Episode 137, loss: 6780.128, total_reward: 200.0, solved: True
Episode 138, loss: 1444.641, total_reward: 78.0, solved: False
Episode 139, loss: 1381.041, total_reward: 76.0, solved: False
Episode 140, loss: 2059.074, total_reward: 96.0, solved: False
Episode 141, loss: 3024.035, total_reward: 117.0, solved: False
Episode 142, loss: 1337.843, total_reward: 79.0, solved: False
Episode 143, loss: 3597.938, total_reward: 138.0, solved: False
Episode 144, loss: 655.328, total_reward: 51.0, solved: False
Episode 145, loss: 3534.130, total_reward: 130.0, solved: False
Episode 146, loss: 6647.354, total_reward: 200.0, solved: True
Episode 147, loss: 5714.762, total_reward: 181.0, solved: False
Episode 148, loss: 6544.543, total_reward: 200.0, solved: True
Episode 149, loss: 6605.112, total_reward: 200.0, solved: True
Episode 150, loss: 6643.826, total_reward: 200.0, solved: True
Episode 151, loss: 6624.538, total_reward: 200.0, solved: True
Episode 152, loss: 6414.750, total_reward: 200.0, solved: True
Episode 153, loss: 6223.097, total_reward: 200.0, solved: True
Episode 154, loss: 6781.264, total_reward: 200.0, solved: True
Episode 155, loss: 6755.206, total_reward: 200.0, solved: True
Episode 156, loss: 6233.148, total_reward: 200.0, solved: True
Episode 157, loss: 1552.912, total_reward: 79.0, solved: False
Episode 158, loss: 6272.883, total_reward: 200.0, solved: True
Episode 159, loss: 6197.661, total_reward: 200.0, solved: True
Episode 160, loss: 4208.180, total_reward: 150.0, solved: False
Episode 161, loss: 6221.549, total_reward: 200.0, solved: True
Episode 162, loss: 6350.356, total_reward: 200.0, solved: True
Episode 163, loss: 6484.966, total_reward: 200.0, solved: True
Episode 164, loss: 5992.104, total_reward: 200.0, solved: True
Episode 165, loss: 6196.337, total_reward: 200.0, solved: True
Episode 166, loss: 6236.345, total_reward: 200.0, solved: True
Episode 167, loss: 6284.413, total_reward: 200.0, solved: True
Episode 168, loss: 6264.227, total_reward: 200.0, solved: True
Episode 169, loss: 5921.959, total_reward: 200.0, solved: True
Episode 170, loss: 6028.320, total_reward: 200.0, solved: True
Episode 171, loss: 6543.451, total_reward: 200.0, solved: True
Episode 172, loss: 6101.614, total_reward: 200.0, solved: True
Episode 173, loss: 6011.175, total_reward: 200.0, solved: True
Episode 174, loss: 5864.889, total_reward: 200.0, solved: True
Episode 175, loss: 5897.891, total_reward: 200.0, solved: True
Episode 176, loss: 5723.643, total_reward: 200.0, solved: True
Episode 177, loss: 5888.062, total_reward: 200.0, solved: True
Episode 178, loss: 5778.069, total_reward: 200.0, solved: True
Episode 179, loss: 5189.846, total_reward: 200.0, solved: True
Episode 180, loss: 5680.350, total_reward: 200.0, solved: True
